3291456,3143280 3008934,2768339
3807352,3409566 3730410,3774311
1953670,1674873 2528182,2000000
2820269,2810878 2796608,2942369
3773264,3992829 3730410,3774311
2913793,2629579 3008934,2768339
1224826,2484735 2528182,2000000
1866102,3047750 1809319,3712572
3123635,118421 1453587,-207584
2530789,2254773 2528182,2000000
230755,3415342 1809319,3712572
846048,51145 1453587,-207584
3505756,3999126 3730410,3774311
2506301,3745758 1809319,3712572
1389843,957209 1453587,-207584
3226352,3670258 3730410,3774311
3902053,3680654 3730410,3774311
2573020,3217129 2796608,2942369
3976945,3871511 3730410,3774311
107050,209321 1453587,-207584
3931251,1787536 2528182,2000000
1637093,3976664 1809319,3712572
2881987,1923522 2528182,2000000
3059723,2540501 3008934,2768339
